Title,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Directed by,Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float)
Garbage Dreams,Mai Iskander,Mai Iskander,United States,79,2009-04-03,,,,,,,,,,,,
Sweetgrass,Ilisa Barbash,Lucien Castaing- Taylor,United States,101,2009-02-04,Lucien Castaing-Taylor,Cinema Guild,English,,,,,,,,,
Daybreakers,"['Chris Brown', 'Sean Furst', 'Bryan Furst']",Ben Nott,,98,2009-09-11,The Spierig Brothers,Hoyts Distribution,English,The Spierig Brothers,"['Ethan Hawke', 'Willem Dafoe', 'Claudia Karvan', 'Michael Dorman', 'Sam Neill', 'Vince Colosimo', 'Isabel Lucas']",Matt Villa,Christopher Gordon,"['Lionsgate', 'Screen Australia', 'Pictures in Paradise', 'Film Finance Corporation Australia', 'Pacific Film & Television Commission', 'Furst Films']",,,20000000.0,51400000.0
Leap Year,"['Gary Barber', 'Chris Bender', 'Roger Birnbaum', 'Jonathan Glickman', 'Jake Weiner']",Newton Thomas Sigel,,100,2010-01-06,Anand Tucker,"['Universal Pictures (United States)', 'Optimum Releasing (United Kingdom and Ireland)']",English,"['Harry Elfont', 'Deborah Kaplan']","['Amy Adams', 'Matthew Goode', 'Adam Scott', 'John Lithgow']",Nick Moore,Randy Edelman,Spyglass Entertainment,,,19000000.0,32600000.0
Youth in Revolt,David Permut,Chuy Chávez,United States,89,2009-10-19,Miguel Arteta,Dimension Films,English,Gustin Nash,"['Michael Cera', 'Portia Doubleday', 'Jean Smart', 'Mary Kay Place', 'Justin Long', 'Fred Willard', 'Ray Liotta', 'Steve Buscemi']",Pamela Martin,John Swihart,"['Permut', 'Shangri-La Entertainment']","['Youth in Revolt', 'C.D. Payne']",,18000000.0,19700000.0
Bitch Slap,Eric Gruendemann Rick Jacobson,Stuart Asbjornsen,United States,109,2009-09-14,Rick Jacobson,"['Freestyle Releasing', 'IM Global', 'Summit Entertainment']",English,Rick Jacobson Eric Gruendemann,"['Julia Voth', 'Erin Cummings', 'America Olivo', 'William Gregory Lee', 'Minae Noji', 'Michael Hurst']",Joe McFadden Corey Yaktus,John R. Graham,Epic Slap,,,,514537.0
Crazy on the Outside,"['Brian Reilly', 'Brett Gregory', 'Anastasia Stanecki']",Robbie Greenberg,United States,96,2010-01-08,Tim Allen,Freestyle Releasing,English,"['Judd Pillot', 'John Peaslee']","['Tim Allen', 'Sigourney Weaver', 'Jeanne Tripplehorn', 'J. K. Simmons', 'Julie Bowen', 'Kelsey Grammer', 'Ray Liotta']",Scott Conrad,David Newman,Boxing Cat Films,,,,88335.0
Waiting for Armageddon,Franco Sacchi David Heilbroner,,United States,74,2009-01-28,"['Kate Davis', 'Franco Sacchi']",Q-Ball Productions Inc Eureka Film Productions LLC,English,,,,Gary Lionelli,,,,,
Wonderful World,Matthew Leutwyler,Daniel Shulman,United States,89,2009-04-27,Joshua Goldin,Magnolia Pictures,English,Joshua Goldin,"['Matthew Broderick', 'Sanaa Lathan', 'Michael K. Williams', 'Jodelle Ferland', 'Jesse Tyler Ferguson', 'Ally Walker', 'Philip Baker Hall']",Jeff Canavan,Craig Richey,"['Ambush Entertainment', 'Back Lot Pictures', 'Cold Iron Pictures']",,,3000000.0,9309.0
The Book of Eli,"['Joel Silver', 'Denzel Washington', 'Broderick Johnson', 'Andrew A. Kosove', 'David Valdes']",Don Burgess,United States,118,2010-01-15,The Hughes Brothers,"['Warner Bros. Pictures', 'Summit Entertainment']",English,Gary Whitta,"['Denzel Washington', 'Gary Oldman', 'Mila Kunis', 'Ray Stevenson', 'Jennifer Beals', 'Frances de la Tour', 'Michael Gambon']",Cindy Mollo,"['Atticus Ross', 'Leopold Ross', 'Claudia Sarne']","['Alcon Entertainment', 'Silver Pictures']",,,80000000.0,157100000.0
The Spy Next Door,Robert Simonds,Dean Cundey,United States,94,2009-12-22,Brian Levant,"['Lionsgate', 'Mandate Pictures']",English,"['Jonathan Bernstein', 'James Greer', 'Gregory Poirier']","['Jackie Chan', 'Amber Valletta', 'Madeline Carroll', 'Will Shadley', 'Magnús Scheving', 'Billy Ray Cyrus', 'George Lopez']",Lawrence Jordan,David Newman,Relativity Media,,"['Jonathan Bernstein', 'James Greer']",28000000.0,45200000.0
44 Inch Chest,Steve Golin,Daniel Landin,United Kingdom,95,2009-10-19,Malcolm Venville,Momentum Pictures,English,Louis Mellis,"['Ray Winstone', 'Ian McShane', 'John Hurt', 'Tom Wilkinson', 'Stephen Dillane', 'Joanne Whalley']",Rick Russell,Angelo Badalamenti,Anonymous Content,,,,247553.0
Fish Tank,"['Nick Laws', 'Kees Kasander']",Robbie Ryan,United Kingdom,123,2009-05-14,Andrea Arnold,Curzon Artificial Eye,English,Andrea Arnold,"['Katie Jarvis', 'Michael Fassbender', 'Kierston Wareing', 'Rebecca Griffiths', 'Harry Treadaway', 'Sydney Mary Nash']",Nicolas Chaudeurge,Steel Pulse,"['BBC Films', 'UK Film Council', 'Kasander Film Company', 'Limelight Communication', 'ContentFilm']",,,3000000.0,5900000.0
House of Numbers: Anatomy of an Epidemic,Brent Leung Ursula Rowan,Matt Coale Pouria Montazeri,United States,90,2009-06-21,Brent Leung,,English,Llewellyn Chapman,Brent Leung,Brent Leung Ursula Rowan,Joel Diamond,,,,,
Extraordinary Measures,"['Michael Shamberg', 'Stacey Sher', 'Carla Santos']",Andrew Dunn,United States,106,2010-01-22,Tom Vaughan,"['CBS Films', 'Sony Pictures Releasing International']",English,Robert Nelson Jacobs,"['Brendan Fraser', 'Harrison Ford', 'Keri Russell']",Anne V. Coates,Andrea Guerra,Double Feature Films,Geeta Anand,,31000000.0,15000000.0
Legion,"['David Lancaster', 'Michel Litvak']",John Lindley,United States,100,2010-01-22,Scott Stewart,Sony Pictures Releasing,English,"['Peter Schink', 'Scott Stewart']","['Paul Bettany', 'Lucas Black', 'Tyrese Gibson', 'Adrianne Palicki', 'Charles S. Dutton', 'Jon Tenney', 'Kevin Durand', 'Willa Holland', 'Kate Walsh', 'Dennis Quaid']",Steven Kemper,John Frizzell,"['Screen Gems', 'Bold Films']",,,26000000.0,67900000.0
Tooth Fairy,"['Mark Ciardi', 'Gordon Gray', 'Jason Blum']",David Tattersall,,101,2010-01-22,Michael Lembeck,20th Century Fox,English,"['Lowell Ganz', 'Babaloo Mandel', 'Joshua Sternin', 'Jennifer Ventimilia', 'Randi Mayem Singer']","['Dwayne Johnson', 'Ashley Judd', 'Julie Andrews']",David Finfer,George S. Clinton,"['Walden Media', 'Mayhem Pictures', 'Blumhouse Productions', 'Dune Entertainment']",,Jim Piddock,48000000.0,112500000.0
Creation,Jeremy Thomas,Jess Hall,United Kingdom,108,2009-09-25,Jon Amiel,Icon Film Distribution,English,John Collee,"['Paul Bettany', 'Jennifer Connelly', 'Jeremy Northam', 'Toby Jones', 'Benedict Cumberbatch', 'Jim Carter', 'Bill Paterson']",Melanie Oliver,Christopher Young,"['HanWay Films', 'BBC Films', 'Recorded Picture Company']",Randal Keynes,,,
The Girl on the Train,,Julien Hirsch,France,105,2009-03-18,André Téchiné,Strand Releasing,French,André Téchiné Odile Barski Jean-Marie Besset (play),"['Emilie Dequenne', 'Catherine Deneuve', 'Michel Blanc']",Martine Giordano,Philippe Sarde,,,,5800000.0,1500000.0
Soundtrack for a Revolution,Joslyn Barnes,Jon Else,,86,,Bill Guttentag,,English,Bill Guttentag Dan Sturman,"['The Roots', 'John Legend', 'Wyclef Jean']",Jeffrey Doe,Phil Marshall,,,,,
To Save a Life,Jim Britts,C. Clifford Jones,United States,120,2009-11-05,Brian Baugh,Samuel Goldwyn Films,English,Jim Britts,Randy Wayne,Dan O'Brien,Timothy Michael Wynn,New Song Pictures Outreach Films Accelerated Entertainment,,,500000.0,3700000.0
Edge of Darkness,"['Graham King', 'Tim Headington', 'Michael Wearing']",Phil Meheux,,117,2010-01-29,Martin Campbell,"['Warner Bros. Pictures (North America, Latin America and Spain)', 'Icon Film Distribution (United Kingdom, Australia and New Zealand)']",English,"['William Monahan', 'Andrew Bovell']","['Mel Gibson', 'Ray Winstone', 'Danny Huston', 'Bojana Novakovic']",Stuart Baird,Howard Shore,GK Films,"['Edge of Darkness', 'Troy Kennedy Martin']",,80000000.0,81100000.0
When in Rome,Mark Steven Johnson Gary Foster Andrew Panay,John Bailey,United States,91,2010-01-29,Mark Steven Johnson,Walt Disney Studios Motion Pictures,English,"['David Diamond', 'David Weissman']","['Kristen Bell', 'Josh Duhamel', 'Will Arnett', 'Jon Heder', 'Dax Shepard', 'Danny DeVito', 'Anjelica Huston']",Ryan Folsey,Christopher Young,Touchstone Pictures,,,28000000.0,43000000.0
Preacher's Kid,"['Marc Bienstock', 'Richard J. Cook', 'Matthew Crouch', 'Stan Foster', 'Darryl Taja']",Dave Perkal,United States,110,2010-01-29,Stan Foster,Warner Premiere,English,Stan Foster,"['LeToya Luckett', ""Rae'Ven Larrymore Kelly"", 'Kiki Sheard', 'Durrell ""Tank"" Babbs', 'Clifton Powell', 'Gregory Alan Williams', 'Sharif Atkins', 'Trey Songz', 'Tammy Townsend', 'Essence Atkins', 'Ella Joyce']",Richard Nord,,Gener8Xion Entertainment,,,3000000.0,515065.0
North Face,Benjamin Herrmann,Kolja Brandt,,121,2008-10-09,Philipp Stölzl,,German,Christoph Silber,"['Benno Fürmann', 'Florian Lukas', 'Johanna Wokalek', 'Ulrich Tukur']",Sven Budelmann,Christian Kolonovits,,,,,
Saint John of Las Vegas,"['Mark Burton', 'Matt Wall', 'Spike Lee', 'Steve Buscemi', 'Stanley Tucci']",Giles Nuttgens,United States,85,2009-06-10,Hue Rhodes,IndieVest Pictures,English,Hue Rhodes,"['Steve Buscemi', 'Romany Malco', 'Sarah Silverman', 'Peter Dinklage', 'Tim Blake Nelson']",Annette Davey,David Torn,Circle of Confusion,,Dante Alighieri,2000000.0,102647.0
Ajami,"['Moshe Danon', 'Thanassis Karathanos', 'Talia Kleinhendler']",Boaz Yehonatan Yaacov,,120,2009-05-22,"['Scandar Copti', 'Yaron Shani']",,,"['Scandar Copti', 'Yaron Shani']","['Fouad Habash', 'Ibrahim Frege', 'Scandar Copti', 'Shahir Kabaha', 'Eran Naim']","['Scandar Copti', 'Yaron Shani']",Rabih Boukhari,,,,1000000.0,2200000.0
Dear John,"['Marty Bowen', 'Wyck Godfrey', 'Ryan Kavanaugh']",Terry Stacey,United States,107,2010-02-05,Lasse Hallström,"['Sony Pictures Releasing (United States)', 'Lionsgate (International)']",English,Jamie Linden,"['Channing Tatum', 'Amanda Seyfried', 'Henry Thomas', 'Scott Porter', 'Richard Jenkins']",Kristina Boden,Deborah Lurie,"['Screen Gems', 'Relativity Media', 'Temple Hill Entertainment']","['Dear John', 'Nicholas Sparks']",,25000000.0,115000000.0
From Paris with Love,India Osborne,Michel Abramowicz,France,92,2010-02-05,Pierre Morel,EuropaCorp Distribution,,Adi Hasak,"['John Travolta', 'Jonathan Rhys Meyers', 'Kasia Smutniak', 'Richard Durden']",Frédéric Thoraval,David Buckley,"['EuropaCorp', 'M6', 'Canal+']",,Luc Besson,52000000.0,52830951.0
Eyes Wide Open,Raphael Katz,Axel Schneppat,Israel,91,2009-05-20,Haim Tabakman,Peccadillo Pictures,Hebrew,Merav Doster,"['Ran Danker', 'Zohar Strauss']",Dov Steuer,Nathaniel Méchaly,,,,,276576.0
Frozen,Peter Block Cory Neal,Will Barratt,United States,93,2010-01-24,Adam Green,Anchor Bay Films,English,Adam Green,"['Shawn Ashmore', 'Kevin Zegers', 'Emma Bell']",Ed Marx,Andy Garfield,A Bigger Boat ArieScope Pictures,,,,3800000.0
Shinjuku Incident,Willie Chan,Kita Nobayasu,,119,2009-04-02,Derek Yee,JCE Movies Limited,,Derek Yee Chun Tin-nam,"['Jackie Chan', 'Naoto Takenaka', 'Daniel Wu', 'Xu Jinglei', 'Fan Bingbing']",Cheung Ka-fai,Peter Kam,,,,15000000.0,5461200.0
Terribly Happy,Tina Dalhoff Thomas Gammeltoft,Jørgen Johansson,Denmark,90,2008-10-02,Henrik Ruben Genz,,Danish,Henrik Ruben Genz Dunja Gry Jensen,"['Jakob Cedergren', 'Lene Maria Christensen']",Kasper Leick,Kaare Bjerkø,,Frygtelig lykkelig by Erling Jepsen,,,2828984.0
Percy Jackson & the Olympians: The Lightning Thief,"['Karen Rosenfelt', 'Chris Columbus', 'Michael Barnathan', 'Mark Radcliffe']",Stephen Goldblatt,,119,2010-02-02,Chris Columbus,20th Century Fox,English,Craig Titley,"['Logan Lerman', 'Brandon T. Jackson', 'Alexandra Daddario', 'Sean Bean', 'Pierce Brosnan', 'Steve Coogan', 'Rosario Dawson', 'Catherine Keener', 'Kevin McKidd', 'Joe Pantoliano', 'Uma Thurman']",Peter Honess,Christophe Beck,"['Fox 2000 Pictures', 'Dune Entertainment', '1492 Pictures', 'Sunswept Entertainment']","['The Lightning Thief', 'Rick Riordan']",,95000000.0,226400000.0
Videocracy,Erik Gandini Mikael Olsen,Manuel Alberto Claro Lukas Eisenhauer,,85,2009-08-28,,,,Erik Gandini,"['Silvio Berlusconi', 'Flavio Briatore', 'Fabrizio Corona', 'Lele Mora', 'Simona Ventura']",Johan Söderberg,,,,,,
Valentine's Day Movie,Mike Karz Wayne Allan Rice,Charles Minsky,United States,125,2010-02-12,Garry Marshall,Warner Bros. Pictures,English,Katherine Fugate,"['Jessica Alba', 'Kathy Bates', 'Jessica Biel', 'Bradley Cooper', 'Eric Dane', 'Patrick Dempsey', 'Héctor Elizondo', 'Jamie Foxx', 'Jennifer Garner', 'Topher Grace', 'Anne Hathaway', 'Ashton Kutcher', 'Queen Latifah', 'Taylor Lautner', 'George Lopez', 'Shirley MacLaine', 'Emma Roberts', 'Julia Roberts', 'Taylor Swift']",Bruce Green,John Debney,"['New Line Cinema', 'Wayne Rice Films', 'Karz Entertainment']",,"['Katherine Fugate', 'Abby Kohn', 'Marc Silverstein']",52000000.0,216500000.0
The Wolfman,"['Scott Stuber', 'Benicio del Toro', 'Rick Yorn', 'Sean Daniel']",Shelly Johnson,United States,103,2010-01-27,Joe Johnston,Universal Pictures,English,"['Andrew Kevin Walker', 'David Self']","['Benicio del Toro', 'Anthony Hopkins', 'Emily Blunt', 'Hugo Weaving']","['Dennis Virkler', 'Walter Murch']",Danny Elfman,"['Universal Pictures', 'Relativity Media', 'Stuber Pictures']","['The Wolf Man', 'Curt Siodmak']",,150000000.0,142600000.0
Celine: Through the Eyes of the World,Julie Snyder,,Canada,180,2010-02-16,Stéphane Laporte,The Hot Ticket,,,"['Celine Dion', 'René Angélil']",,,,,,,
Lourdes,"['Philippe Bober', 'Martin Gschlacht', 'Susanne Marian']",Martin Gschlacht,,96,2009-09-05,Jessica Hausner,Sophie Dulac Distribution,French,Jessica Hausner,"['Sylvie Testud', 'Léa Seydoux', 'Bruno Todeschini', 'Elina Löwensohn']",Karina Ressler,,,,,2000000.0,530000.0
The Ghost Writer,Alain Sarde,Paweł Edelman,,128,2010-02-12,Roman Polanski,"['Optimum Releasing', 'Pathé Distribution', 'Kinowelt Filmverleih']",English,Robert Harris,"['Ewan McGregor', 'Pierce Brosnan', 'Kim Cattrall', 'Olivia Williams', 'Tom Wilkinson', 'Timothy Hutton', 'Jon Bernthal', 'David Rintoul', 'Robert Pugh', 'Eli Wallach', 'Jim Belushi']",Hervé de Luze,Alexandre Desplat,,The Ghost,,45000000.0,60200000.0
Shutter Island,"['Mike Medavoy', 'Arnold W. Messer', 'Bradley J. Fischer', 'Martin Scorsese']",Robert Richardson,United States,139,2010-02-13,Martin Scorsese,Paramount Pictures,English,Laeta Kalogridis,"['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley', 'Michelle Williams', 'Emily Mortimer', 'Patricia Clarkson', 'Max von Sydow']",Thelma Schoonmaker,,"['Phoenix Pictures', 'Sikelia Productions', 'Appian Way Productions']","['Shutter Island', 'Dennis Lehane']",,80000000.0,294800000.0
The Good Guy,"['Linda Moran', 'Rene Bastian', 'Julio DePietro']",,United States,91,2009-04-26,Julio DePietro,Roadside Attractions,English,Julio DePietro,"['Alexis Bledel', 'Scott Porter', 'Bryan Greenberg', 'Andrew McCarthy', 'Aaron Yoo']",Ray Hubley,"['Kurt Oldman', 'Tomandandy']",Belladonna Productions Movie Studio,,,10000000.0,106460.0
Happy Tears,Joyce M. Pierpoline,Jamie Anderson,United States,95,2009-02-11,Mitchell Lichtenstein,Roadside Attractions,English,Mitchell Lichtenstein,"['Parker Posey', 'Demi Moore', 'Rip Torn', 'Billy Magnussen', 'Sebastian Roché', 'Ellen Barkin']",Joe Landauer,Robert Miller,,,,,22464.0
The Red Baron,"['Dan Maag', 'Thomas Reisser', 'Roland Pellegrino']",Klaus Merkel,,123,2008-04-10,Nikolai Müllerschön,"['Warner Bros. Pictures', 'Monterey Media']",,Nikolai Müllerschön,"['Matthias Schweighöfer', 'Joseph Fiennes', 'Til Schweiger', 'Lena Headey']",Christian Lonk,"['Stefan Hansen', 'Dick Reichardt']",Niama Film,,,,
Cop Out,"['Marc Platt', 'Polly Johnsen', 'Michael Tadross']",David Klein,United States,107,2010-02-26,Kevin Smith,Warner Bros. Pictures,English,Robb Cullen Mark Cullen,"['Bruce Willis', 'Tracy Morgan', 'Adam Brody', 'Kevin Pollak', 'Guillermo Diaz', 'Seann William Scott']",Kevin Smith,Harold Faltermeyer,"['Warner Bros. Pictures', 'Marc Platt Productions']",,,30000000.0,55600000.0
The Crazies,"['Michael Aguilar', 'Dean Georgaris', 'Rob Cowan']",Maxime Alexandre,,101,2010-02-26,Breck Eisner,"['Overture Films', 'Participant Media (United States)', 'Gulf Film (United Arab Emirates)', 'Paramount Vantage (International)']",English,"['Scott Kosar', 'Ray Wright']","['Timothy Olyphant', 'Radha Mitchell', 'Joe Anderson', 'Danielle Panabaker']",Billy Fox,Mark Isham,"['Overture Films', 'Participant Media', 'Imagenation Abu Dhabi']","['The Crazies', 'George A. Romero']",,20000000.0,54800000.0
The Art of the Steal,Sheena M. Joyce,Don Argott,United States,101,2009-09-12,Don Argott,IFC in Theaters,English,,,Demian Fenton,West Dylan Thordson,Maj Productions 9.14 Pictures,,,,
Defendor,Nicholas Tabarrok,David Greene,Canada,101,2009-09-12,Peter Stebbings,Alliance Films,English,Peter Stebbings,"['Woody Harrelson', 'Elias Koteas', 'Michael Kelly', 'Sandra Oh', 'Kat Dennings']",Geoff Ashenhurst,John Rowley,"['Darius Films', 'Alliance Films']",,,,44462.0
Easier with Practice,"['Cookie Carosella', 'David Melito']",David Rush Morrison,United States,100,2009-06-12,Kyle Patrick Alvarez,Lantern Lane Entertainment,English,Kyle Patrick Alvarez,"['Brian Geraghty', ""Kel O'Neill"", 'Marguerite Moreau', 'Jeanette Brox', 'Jenna Gavigan']",Fernando Collins,,Forty Second Productions,Davy Rothbart,,,
Formosa Betrayed,Will Tiao Adam Kane David Cluck,Irek Hartowicz,United States,103,2009-07-24,Adam Kane,,English,"['Will Tiao', 'Yann Samuell']","['James Van Der Beek', 'Wendy Crewson', 'John Heard', 'Tzi Ma', 'Leslie Hope', 'Kenneth Tsang']",Howard E. Smith,Jeff Danna,Living Films,,,6000000.0,225000.0
A Prophet,"['Lauranne Bourrachot', 'Martine Cassinelli', 'Pascal Caucheteux', 'Marco Cherqui']",Stéphane Fontaine,,155,2009-05-16,Jacques Audiard,UGC Distribution,,"['Jacques Audiard', 'Thomas Bidegain', 'Abdel Raouf Dafri', 'Nicolas Peufaillit']","['Tahar Rahim', 'Niels Arestrup', 'Adel Bencherif']",Juliette Welfling,Alexandre Desplat,,,Abdel Raouf Dafri,13000000.0,17900000.0
The Yellow Handkerchief,Arthur Cohn,Chris Menges,United States,102,2008-01-18,Udayan Prasad,,English,Erin Dignam,"['William Hurt', 'Maria Bello', 'Kristen Stewart', 'Eddie Redmayne']",Christopher Tellefsen,Eef Barzelay,Samuel Goldwyn Films,"['The Yellow Handkerchief', 'Yoji Yamada']",,15500000.0,318623.0
Alice in Wonderland,"['Richard D. Zanuck', 'Joe Roth', 'Suzanne Todd', 'Jennifer Todd']",Dariusz Wolski,United States,108,2010-02-25,Tim Burton,Walt Disney Studios Motion Pictures,English,Linda Woolverton,"['Johnny Depp', 'Anne Hathaway', 'Helena Bonham Carter', 'Crispin Glover', 'Matt Lucas', 'Mia Wasikowska', 'Alan Rickman', 'Stephen Fry', 'Michael Sheen', 'Timothy Spall']",Chris Lebenzon,Danny Elfman,"['Walt Disney Pictures', 'Roth Films', 'The Zanuck Company', 'Team Todd']","[""Alice's Adventures in Wonderland"", 'Through the Looking-Glass', 'Lewis Carroll']",,200000000.0,1024999999.9999999
Brooklyn's Finest,"['Elie Cohn', 'Basil Iwanyk', 'John Langley', 'John Thompson']",Patrick Murguia,United States,132,2009-01-16,Antoine Fuqua,Overture Films,English,Michael C. Martin,"['Richard Gere', 'Don Cheadle', 'Ethan Hawke', 'Wesley Snipes', 'Will Patton', 'Lili Taylor', ""Brían F. O'Byrne"", 'Shannon Kane', 'Ellen Barkin']",Barbara Tulliver,Marcelo Zarvos,"['Millennium Films', 'Thunder Road Pictures', 'Nu Image']",,,17000000.0,36400000.0
Green Zone,"['Tim Bevan', 'Eric Fellner', 'Lloyd Levin', 'Paul Greengrass']",Barry Ackroyd,,115,2010-02-26,Paul Greengrass,"['Universal Pictures (International)', 'StudioCanal (France)']",,Brian Helgeland,"['Matt Damon', 'Greg Kinnear', 'Brendan Gleeson', 'Amy Ryan', 'Khalid Abdalla', 'Jason Isaacs']",Christopher Rouse,John Powell,"['Working Title Films', 'StudioCanal', 'Relativity Media', 'Antena 3 Films', 'Dentsu']","['Imperial Life in the Emerald City', 'Rajiv Chandrasekaran']",,100000000.0,94900000.0
Our Family Wedding,Edward Saxon,Julio Macat,United States,90,2010-03-12,Rick Famuyiwa,Fox Searchlight Pictures,English,"['Wayne Conley', 'Malcolm Spellman', 'Rick Famuyiwa']","['Forest Whitaker', 'America Ferrera', 'Carlos Mencia', 'Regina King', 'Lance Gross']",Dirk Westervelt,Transcenders,,,Wayne Conley,,21409028.0
Remember Me,"['Nicholas Osborne', 'Trevor Engelson', 'Erik Feig', 'Robert Pattinson']",Jonathan Freeman,United States,108,2010-03-01,Allen Coulter,Summit Entertainment,English,Will Fetters,"['Robert Pattinson', 'Emilie de Ravin', 'Chris Cooper', 'Lena Olin', 'Tate Ellington', 'Pierce Brosnan']",Andrew Mondshein,Marcelo Zarvos,Underground Films,,,16000000.0,56000000.0
She's Out of My League,"['Jimmy Miller', 'David Householter']",Jim Denault,United States,104,2010-03-12,Jim Field Smith,Paramount Pictures,English,"['Sean Anders', 'John Morris']","['Jay Baruchel', 'Alice Eve', 'T.J. Miller', 'Mike Vogel', 'Nate Torrence', 'Krysten Ritter', 'Geoff Stults', 'Lindsay Sloane']",Dan Schalk,Michael Andrews,"['DreamWorks Pictures', 'Mosaic Media Group']",,,20000000.0,49800000.0
Children of Invention,Mynette Louie,Chris Teague,United States,86,2009-01-18,Tze Chun,N/A,English,Tze Chun,Cindy Cheung,Anna Boden,T. Griffin,,,,,
Stolen,"['Al Corley', 'Josh Lucas']",Andy Steinmann,United States,,2009-10-10,Anders Anderson,IFC Films,English,Glenn Taranto,"['Josh Lucas', 'Jon Hamm', 'Rhona Mitra', 'James Van Der Beek']",Anders Anderson,Trevor Morris,2 Bridges Productions A2 Entertainment Group Boy in the Box Code Entertainment,,,,7943.0
Monsters,"['Allan Niblo', 'James Richardson']",Gareth Edwards,United Kingdom,94,2010-03-13,Gareth Edwards,Vertigo Films,English,Gareth Edwards,"['Scoot McNairy', 'Whitney Able']",['Colin Goudie'],Jon Hopkins,Vertigo Films,,,500000.0,4240000.0
The Bounty Hunter,Neal H. Moritz,Oliver Bokelberg,United States,106,2010-03-19,Andy Tennant,Sony Pictures Releasing,English,Sarah Thorp,"['Jennifer Aniston', 'Gerard Butler']",Troy Takaki,George Fenton,"['Columbia Pictures', 'Relativity Media', 'Original Film']",,,45000000.0,136300000.0
Diary of a Wimpy Kid,"['Nina Jacobson', 'Brad Simpson']",Jack N. Green,United States,92,2010-03-19,Thor Freudenthal,20th Century Fox,English,"['Jackie Filgo Jeff Filgo', 'Jeff Judah', 'Gabe Sachs']","['Zachary Gordon', 'Robert Capron', 'Rachael Harris', 'Steve Zahn']",Wendy Greene Bricmont,Theodore Shapiro,"['Fox 2000 Pictures', 'Color Force', 'Dune Entertainment']","['Diary of a Wimpy Kid', 'Jeff Kinney']",,15000000.0,75700000.0
Repo Men,Scott Stuber,Enrique Chediak,,111,2010-03-19,Miguel Sapochnik,Universal Pictures,,"['Eric Garcia', 'Garrett Lerner']","['Jude Law', 'Forest Whitaker', 'Liev Schreiber', 'Alice Braga', 'Carice van Houten', 'Chandler Canterbury', 'RZA', 'Yvette Nicole Brown']",Richard Francis-Bruce,Marco Beltrami,"['Relativity Media', 'Stuber Pictures']",The Repossession Mambo by Eric Garcia,,32000000.0,18400000.0
City Island,Andy Garcia,Vanja Cernjul,United States,104,2009-03-23,Raymond De Felitta,Anchor Bay Films,English,Raymond De Felitta,"['Julianna Margulies', 'Steven Strait', 'Emily Mortimer', 'Ezra Miller', 'Dominik Garcia-Lorido', 'Alan Arkin']",David Leonard,Jan A.P. Kaczmarek,"['CineSon Entertainment', 'Medici Entertainment', 'NovaStar Digital']",,,6000000.0,7875862.0
Greenberg,"['Scott Rudin', 'Jennifer Jason Leigh']",Harris Savides,United States,107,2010-02-14,Noah Baumbach,Focus Features,English,Noah Baumbach,"['Ben Stiller', 'Greta Gerwig', 'Rhys Ifans', 'Jennifer Jason Leigh']",Tim Streeto,James Murphy,Scott Rudin Productions,,"['Jennifer Jason Leigh', 'Noah Baumbach']",25000000.0,7400000.0
Kimjongilia,,,United States,75,,,,,N.C. Heikin,,,,,,,,
The Killing Jar,Jonathan Sachar,Gregg Easterbrook,United States,90,,Mark Young,New Films International,English,Mark Young,"['Michael Madsen', 'Harold Perrineau', 'Amber Benson', 'Danny Trejo', 'Jake Busey', 'Lindsey Axelsson']",Mark Young,,Morningstar Pictures,,,,
The Runaways,"['John Linson', 'Art Linson', 'Bill Pohlad']",Benoît Debie,United States,106,2010-01-24,Floria Sigismondi,"['Apparition (United States)', 'Summit Entertainment (international)']",English,Floria Sigismondi,"['Dakota Fanning', 'Kristen Stewart', 'Michael Shannon']",Richard Chew,Lillian Berlin,"['River Road Entertainment', 'Linson Entertainment']",Cherie Currie,,10000000.0,4600000.0
Hot Tub Time Machine,"['John Cusack', 'Grace Loh', 'John Morris', 'Matt Moore']",Jack N. Green,United States,99,2010-03-26,Steve Pink,"['MGM Distribution Co.', 'Lakeshore International']",English,"['Josh Heald', 'Sean Anders', 'John Morris']","['John Cusack', 'Rob Corddry', 'Craig Robinson', 'Clark Duke', 'Crispin Glover', 'Lizzy Caplan', 'Chevy Chase']","['George Folsey, Jr.', 'James Thomas']",Christophe Beck,"['New Crime Productions', 'Metro-Goldwyn-Mayer', 'United Artists']",,Josh Heald,36000000.0,64599999.99999999
How to Train Your Dragon,Bonnie Arnold,Roger Deakins,United States,98,2010-03-21,"['Chris Sanders', 'Dean DeBlois']",Paramount Pictures,English,"['Will Davies', 'Dean DeBlois', 'Chris Sanders']","['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson', 'America Ferrera', 'Jonah Hill', 'Christopher Mintz-Plasse', 'T.J. Miller', 'Kristen Wiig']","['Darren Holmes', 'Maryann Brandon']",John Powell,DreamWorks Animation,"['How to Train Your Dragon', 'Cressida Cowell']",,165000000.0,494900000.0
