Title,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Directed by,Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float)
Woodlawn,"['Kevin Downes', 'Daryl Lefever', 'Joe Knopp']",Kristopher Kimlin,United States,124,2015-10-16,['Erwin Brothers'],Pure Flix Entertainment,English,"['Quinton Peeples', 'Jon Erwin']","['Sean Astin', 'Nic Bishop', 'Caleb Castille', 'Sherri Shepherd', 'Jon Voight', 'C. Thomas Howell']",Brent McCorkle Andrew Erwin,Paul Mills,"['Crescent City Pictures', 'Lightworkers Media', 'Pure Flix Entertainment']",,,13000000.0,14400000.0
Truth,"['Bradley J. Fischer', 'Doug Mankoff', 'Brett Ratner', 'William Sherak', 'Andy Spaulding', 'James Vanderbilt']",Mandy Walker,United States,125,2015-09-12,James Vanderbilt,Sony Pictures Classics,English,James Vanderbilt,"['Cate Blanchett', 'Robert Redford', 'Topher Grace', 'Elisabeth Moss', 'Bruce Greenwood', 'Stacy Keach', 'Dennis Quaid']",Richard Francis-Bruce,Brian Tyler,"['Echo Lake Entertainment', 'Mythology Entertainment', 'RatPac-Dune Entertainment', 'Dirty Films']",Mary Mapes,,9600000.0,5600000.0
Experimenter: The Stanley Milgram Story,"['Uri Singer', 'Fabio Golombek', 'Aimee Schoof', 'Isen Robbins', 'Danny A. Abeckaser', 'Per Melita', 'Joseph White', 'Michael Almereyda']",Ryan Samul,United States,1,2015-01-25,Michael Almereyda,"['Magnolia Pictures', 'Bleiberg Entertainment (present, Non-US)']",English,Michael Almereyda,"['Peter Sarsgaard', 'Winona Ryder', 'Jim Gaffigan', 'Edoardo Ballerini', 'John Palladino', 'Kellan Lutz', 'Dennis Haysbert', 'Danny A. Abeckaser', 'Taryn Manning', 'Anthony Edwards', 'Lori Singer', 'Josh Hamilton', 'Anton Yelchin', 'Adriana L. Randall', 'Donnie Keshawarz', 'Vondie Curtis-Hall', 'John Leguizamo']",Kathryn J. Schubert,Bryan Senti,"['BB Film Productions', 'FJ Productions', 'Intrinsic Value Films', 'Jeff Rice Films', '2B Productions']",,,,
Rock the Kasbah,"['Steve Bing', 'Bill Block', 'Jacob Pechenik']",Sean Bobbitt,United States,106,2015-10-22,Barry Levinson,Open Road Films,English,Mitch Glazer,"['Bill Murray', 'Kate Hudson', 'Beejan Land', 'Zooey Deschanel', 'Danny McBride', 'Scott Caan', 'Leem Lubany', 'Arian Moayed', 'Bruce Willis']",Aaron Yanes,Marcelo Zarvos,"['Shangri-La Entertainment', 'Covert Media', 'Venture Forth']",,,15000000.0,3400000.0
Paranormal Activity: The Ghost Dimension,"['Jason Blum', 'Oren Peli']",John Rutland,United States,88,2015-10-23,Gregory Plotkin,Paramount Pictures,English,"['Jason Harry Pagan', 'Andrew Deutschman', 'Adam Robitel', 'Gavin Heffernan']","['Chris J. Murray', 'Brittany Shaw', 'Olivia Taylor Dudley', 'Dan Gill', 'Ivy George', 'Jessica Tyler Brown', 'Chloe Csengery', 'Don McManus', 'Hallie Foote']",Michel Aller,,"['Blumhouse Productions', 'Solana Films', 'Room 101, Inc.']","['Paranormal Activity', 'Oren Peli']","['Brantley Aufill', 'Jason Harry Pagan', 'Andrew Deutschman']",10000000.0,78900000.0
Jem and the Holograms,"['Jason Blum', 'Jon M. Chu', 'Scooter Braun', 'Brian Goldner', 'Stephen Davis', 'Bennett Schneir']",Alice Brooks,United States,118,2015-10-23,Jon M. Chu,Universal Pictures,English,Ryan Landels,"['Aubrey Peeples', 'Stefanie Scott', 'Hayley Kiyoko', 'Aurora Perrineau', 'Ryan Guzman', 'Molly Ringwald', 'Juliette Lewis']","['Jillian Moul', 'Michael Trent']",Nathan Lanier,"['Allspark Pictures', 'Blumhouse Productions', 'Chu Studios', 'SB Projects']","['Jem', 'Christy Marx']",,5000000.0,2300000.0
The Last Witch Hunter,"['Mark Canton', 'Vin Diesel', 'Bernie Goldmann']",Dean Semler,United States,106,2015-10-13,Breck Eisner,Lionsgate,English,"['Cory Goodman', 'Matt Sazama Burk Sharpless']","['Vin Diesel', 'Elijah Wood', 'Rose Leslie', 'Julie Engelbrecht', 'Michael Caine']","['Dean Zimmerman', 'Chris Lebenzon']",Steve Jablonsky,"['Summit Entertainment', 'Mark Canton Productions', 'One Race Films', 'Goldmann Pictures']",,,71000000.0,146900000.0
Bone Tomahawk,"['Jack Heller', 'Dallas Sonnier']",Benji Bakshi,United States,132,2015-10-01,S. Craig Zahler,RLJ Entertainment,English,S. Craig Zahler,"['Kurt Russell', 'Patrick Wilson', 'Matthew Fox', 'Lili Simmons', 'Richard Jenkins', 'Evan Jonigkeit', 'Kathryn Morris', 'Sid Haig', 'David Arquette', 'Fred Melamed']","[""Greg D'Auria"", 'Fred Raskin']","['Jeff Herriott', 'S. Craig Zahler']","['Caliber Media Company', 'The Fyzz Facility']",,,1800000.0,475846.0
I Smile Back,"['Brian Koppelman', 'David Levien', 'Mike Harrop', 'Richard Arlook']",Eric Lin,United States,85,2015-01-25,Adam Salky,Broad Green Pictures,English,"['Paige Dylan', 'Amy Koppelman']","['Sarah Silverman', 'Josh Charles', 'Thomas Sadoski', 'Mia Barron', 'Skylar Gaertner', 'Shayne Coleman', 'Kristin Griffith', 'Chris Sarandon', 'Terry Kinney']",Tamara Meem,Zack Ryan,"['Egoli Tossell Film', 'Koppelman/Levien']",I Smile Back by Amy Koppelman,,,
Scouts Guide to the Zombie Apocalypse,"['Todd Garner', 'Andy Fickman']",Brandon Trost,United States,93,2015-10-30,Christopher Landon,Paramount Pictures,English,"['Carrie Evans', 'Emi Mochizuki', 'Christopher Landon']","['Tye Sheridan', 'David Koechner']",Jim Page,Matthew Margeson,Broken Road Productions,,"['Carrie Evans', 'Emi Mochizuki', 'Lona Williams']",15000000.0,16100000.000000002
Our Brand Is Crisis,"['Grant Heslov', 'George Clooney']",Tim Orr,United States,107,2015-09-11,David Gordon Green,Warner Bros. Pictures,English,Peter Straughan,"['Sandra Bullock', 'Billy Bob Thornton', 'Anthony Mackie', 'Joaquim de Almeida', 'Ann Dowd', 'Scoot McNairy', 'Zoe Kazan']",Colin Patton,David Wingo,"['Participant Media', 'RatPac-Dune Entertainment', 'Smokehouse Pictures', 'Fortis Films']",Our Brand Is Crisis,,28000000.0,8600000.0
Freaks of Nature,Matt Tolmach,Uta Briesewitz,United States,92,2015-10-30,Robbie Pickering,Sony Pictures Releasing,English,Oren Uziel,"['Nicholas Braun', 'Mackenzie Davis', 'Josh Fadem', 'Joan Cusack', 'Bob Odenkirk', 'Patton Oswalt', 'Ed Westwick', 'Vanessa Hudgens', 'Denis Leary']",Craig Alpert,Fil Eisler,"['Columbia Pictures', 'LStar Capital']",,,33000000.0,70958.0
Burnt,"['Stacey Sher', 'Erwin Stoff', 'John Wells']",Adriano Goldman,United States,101,2015-10-22,John Wells,The Weinstein Company,English,Steven Knight,"['Bradley Cooper', 'Sienna Miller', 'Omar Sy', 'Daniel Brühl', 'Riccardo Scamarcio', 'Sam Keeley', 'Alicia Vikander', 'Matthew Rhys', 'Lily James', 'Uma Thurman', 'Emma Thompson']",Nick Moore,Rob Simonsen,"['Shiny Penny Productions', '3 Arts Entertainment', 'Battle Mountain Films']",,Michael Kalesniko,20000000.0,36600000.0
Spectre,"['Michael G. Wilson', 'Barbara Broccoli']",Hoyte van Hoytema,,148,2015-10-26,Sam Mendes,Sony Pictures Releasing,English,"['John Logan', 'Neal Purvis Robert Wade', 'Jez Butterworth']","['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux', 'Ben Whishaw', 'Naomie Harris', 'Dave Bautista', 'Monica Bellucci', 'Ralph Fiennes']",Lee Smith,Thomas Newman,"['Eon Productions', 'Metro-Goldwyn-Mayer Pictures', 'Columbia Pictures', 'B24', 'Danjaq']","['James Bond', 'Ian Fleming']","['John Logan', 'Neal Purvis', 'Robert Wade']",245000000.0,880700000.0
Spotlight,"['Blye Pagon Faust', 'Steve Golin', 'Nicole Rocklin', 'Michael Sugar']",Masanobu Takayanagi,United States,129,2015-09-03,Tom McCarthy,"['Open Road Films (United States)', 'Entertainment One Features (International)']",English,"['Josh Singer', 'Tom McCarthy']","['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber', 'John Slattery', 'Stanley Tucci']",Tom McArdle,Howard Shore,"['Participant Media', 'First Look Media', 'Anonymous Content', 'Rocklin/Faust Productions', 'Spotlight Film']",,,20000000.0,98700000.0
The Peanuts Movie,"['Craig Schulz', 'Bryan Schulz', 'Cornelius Uliano', 'Paul Feig', 'Michael J. Travers']",Renato Falcão,United States,88,2015-11-01,Steve Martino,20th Century Fox,English,"['Craig Schulz', 'Bryan Schulz', 'Cornelius Uliano']","['Noah Schnapp', 'Hadley Belle Miller', 'Mariel Sheets', 'Alex Garfin', '', 'Troy ""Trombone Shorty"" Andrews', 'Kristin Chenoweth', 'Bill Melendez']",Randy Trager,Christophe Beck,"['Blue Sky Studios', '20th Century Fox Animation']","['Peanuts', 'Charles M. Schulz']",,99000000.0,246200000.0
